date,category,amount
2026-03-23,Food,16
2026-04-05,Bills,72
2026-01-29,Transport,198
2026-01-14,Health,199
2026-04-25,Shopping,32
2026-03-17,Entertainment,18
2026-01-04,Food,65
2026-01-30,Shopping,164
2026-01-04,Shopping,60
2026-04-02,Health,189
2026-03-11,Entertainment,66
2026-02-27,Shopping,81
2026-04-14,Food,50
2026-03-31,Entertainment,97
2026-02-05,Transport,65
2026-04-08,Bills,36
2026-01-12,Entertainment,34
2026-02-15,Bills,164
2026-02-03,Food,196
2026-02-28,Shopping,41
2026-04-29,Entertainment,30
2026-03-12,Bills,170
2026-03-21,Bills,157
2026-01-25,Health,27
2026-01-06,Health,68
2026-04-09,Bills,30
2026-04-20,Transport,35
2026-02-18,Bills,126
2026-03-23,Bills,51
2026-02-17,Bills,63
2026-03-27,Bills,189
2026-04-30,Health,175
2026-01-10,Shopping,172
2026-01-22,Shopping,196
2026-02-01,Transport,128
2026-02-18,Bills,173
2026-03-30,Shopping,66
2026-03-29,Bills,24
2026-01-30,Food,90
2026-02-21,Bills,26
2026-01-28,Shopping,193
2026-02-10,Transport,177
2026-03-05,Entertainment,174
2026-02-28,Transport,77
2026-01-18,Transport,200
2026-03-13,Shopping,77
2026-04-06,Shopping,119
2026-04-25,Shopping,112
2026-02-16,Transport,45
2026-03-07,Entertainment,33
2026-04-07,Food,38
2026-01-20,Health,50
2026-04-12,Health,118
2026-03-18,Food,108
2026-02-18,Shopping,129
2026-03-09,Bills,151
2026-04-21,Food,184
2026-04-03,Food,184
2026-04-24,Shopping,78
2026-04-09,Health,97
2026-01-15,Bills,121
2026-01-21,Entertainment,10
2026-04-03,Health,77
2026-03-06,Transport,139
2026-04-27,Food,170
2026-02-08,Health,139
2026-03-19,Transport,49
2026-02-17,Transport,148
2026-04-10,Shopping,10
2026-03-18,Bills,135
2026-01-03,Food,102
2026-04-23,Bills,71
2026-01-08,Transport,155
2026-01-11,Food,197
2026-03-04,Food,146
2026-04-09,Transport,42
2026-03-26,Entertainment,150
2026-01-22,Bills,145
2026-04-22,Shopping,118
2026-01-28,Shopping,196
